world-universities copy,Name,web_pages,url_status_codes,all_urls_valid
AD,University of Andorra,https://www.uda.ad/,[200],TRUE
AE,Abu Dhabi University,https://www.adu.ac.ae/,[200],TRUE
AE,Ajman University of Science & Technology,https://www.ajman.ac.ae/,[200],TRUE
AE,Al Ghurair University,https://www.agu.ae/,[200],TRUE
AE,Al Khawarizmi International College,https://www.khawarizmi.com/,['ERROR: SSLError'],FALSE
AE,American University in Dubai,https://www.aud.edu/,[200],TRUE
AE,American University in the Emirates,https://www.aue.ae/,[200],TRUE
AE,American University of Sharjah,https://www.aus.edu/,[200],TRUE
AE,British University in Dubai,https://www.buid.ac.ae/,[403],FALSE
AE,Dubai Medical College for Girls,https://www.dmcg.edu/,[200],TRUE
AE,Dubai Pharmacy College,https://www.dpc.edu/,[200],TRUE
AE,Gulf Medical University,https://www.gmu.ac.ae/,[200],TRUE
AE,Higher Colleges of Technology,https://www.hct.ac.ae/,[200],TRUE
AE,Ittihad University,https://www.iu.ae/,['ERROR: ConnectionError'],FALSE
AE,Jumeira University,https://www.ju.ac.ae/,['ERROR: SSLError'],FALSE
AE,"Khalifa University of Science, Technology and Research",https://www.ku.ac.ae/,[200],TRUE
AE,Masdar University Of Science And Technology,https://www.masdar.ac.ae/,['ERROR: ConnectionError'],FALSE
AE,"New York University, Abu Dhabi",https://nyuad.nyu.edu/,[200],TRUE
AE,Paris-Sorbonne University Abu Dhabi,https://www.sorbonne.ae/,[200],TRUE
AE,Rak Medical & Health Sciences University,https://www.rakmhsu.com/,[200],TRUE
AE,"Rochester Institute of Technology, Dubai",https://dubai.rit.edu/,[200],TRUE
AE,"Synergy University, Dubai Campus",https://www.synergydubai.ae/,[200],TRUE
AE,The Emirates Academy of Hotel Managment,https://www.emiratesacademy.edu/,[200],TRUE
AE,United Arab Emirates University,https://www.uaeu.ac.ae/,[200],TRUE
AE,University Of Dubai,https://www.ud.ac.ae/,['ERROR: SSLError'],FALSE
AE,University of Sharjah,https://www.sharjah.ac.ae/,[200],TRUE
AE,University of Wollongong - Dubai Campus,https://www.uowdubai.ac.ae/,[403],FALSE
AE,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),https://mbzuai.ac.ae/,[200],TRUE
AE,American College Of Dubai,https://www.acd.ac.ae/,['ERROR: SSLError'],FALSE
AE,Ajman University,https://www.ajman.ac.ae/,[200],TRUE
AE,Alain University of Science and Technology,https://www.alainuniversity.ac.ae/,['ERROR: ConnectionError'],FALSE
AE,Alhosn University,https://www.alhosnu.ae/,[200],TRUE
AE,Etisalat University College,https://www.ece.ac.ae/,['ERROR: ConnectionError'],FALSE
